fund_name,amc_name,category,launch_date,nav,nav_currency,nav_as_of,expense_ratio,aum,aum_currency,aum_unit,inception_date,minimum_investment,lock_in_period,exit_load,benchmark_index,target_corpus_at_launch,target_corpus_at_launch,source_name,source_url,scraped_at,scrape_status,source_tier
ABSL India Flexicap Fund (IFSC),Aditya Birla Sun Life AMC Limited,,,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/absl-india-flexicap-fund-ifsc/,2026-08-19T06:32:54.747919+00:00,success,tier2_directory
Alchemy India Long Term Fund,Alchemy Capital Management Pvt Ltd,,2023-04-19,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/alchemy-india-long-term-fund/,2026-08-19T06:32:58.270605+00:00,success,tier2_directory
Ashoka WhiteOak Capital India Opportunities GIFT Fund,,Gift City Funds,2025-03-25,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/ashoka-whiteoak-capital-india-opportunities-gift-fund/,2026-08-19T06:33:01.980462+00:00,success,tier2_directory
Ashoka WhiteOak India Multi Cap GIFT Fund,,Category- III AIF,2024-11-13,,,,,,,,,"USD 150,000",,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/ashoka-whiteoak-india-multi-cap-gift-fund/,2026-08-19T06:33:05.687001+00:00,success,tier2_directory
Axis India Multicap Fund,Axis Asset Management Company Limited,,,,,,,,,,,"USD 150,000 (USD 50,000 for Accredited Investors)",,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/axis-india-multicap-fund-2/,2026-08-19T06:33:09.140580+00:00,success,tier2_directory
Bandhan India Government Securities Fund (IFSC),,Gift City Funds,2025-03-06,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/bandhan-india-government-securities-fund-ifsc/,2026-08-19T06:33:13.075017+00:00,success,tier2_directory
Carnelian India Amritkaal Fund,Carnelian Asset Management and Advisors Pvt Ltd,Open-ended Scheme; allotment fortnightly,2024-08-19,,,,,,,,,,,,S&P BSE 500 Index,,,ALTPORT fund directory,https://www.altportfunds.com/investments/carnelian-india-amritkaal-fund/,2026-08-19T06:33:21.143033+00:00,success,tier2_directory
Carnelian India Multi Strategy Fund,Carnelian Asset Management and Advisors Pvt Ltd,Category-III AIF,2025-05-07,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/carnelian-india-multi-strategy-fund/,2026-08-19T06:33:24.824855+00:00,success,tier2_directory
DSP India Absolute Return Fund,,Gift City Funds,2024-03-19,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/dsp-india-absolute-return-fund/,2026-08-19T06:33:28.353906+00:00,success,tier2_directory
DSP India Equity Opportunities Fund,,Gift City Funds,2024-12-19,,,,,,,,,,,,,,,ALTPORT fund directory,https://www.altportfunds.com/investments/dsp-india-equity-opportunities-fund/,2026-08-19T06:33:31.949725+00:00,success,tier2_directory
